pid,player,pos,prev_team,age,proj_ppr,prev_ppr,prev_ppg,prev_g,prev_rk,vbd,vbd_rk,tier,pos_rk
P1684,Shedeur Sanders,QB,CLE,24,89.6,84.9,10.61,8,202,-151.9,240,4,32
P1668,J.J. McCarthy,QB,MIN,23,87.9,125.4,12.54,10,140,-153.6,241,4,33
P1433,Mac Jones,QB,SFO,28,74.9,130.0,11.82,11,127,-166.6,242,4,34
P0681,Joe Flacco,QB,2TM,41,63.3,146.7,11.28,13,110,-178.2,243,4,35
P1443,Davis Mills,QB,HOU,28,44.4,68.6,11.43,6,232,-197.1,244,5,36
P1641,Spencer Rattler,QB,NOR,26,38.7,99.1,11.01,9,174,-202.8,245,5,37
P1081,Marcus Mariota,QB,WAS,33,35.9,125.5,11.41,11,138,-205.6,246,5,38
P1690,Dillon Gabriel,QB,CLE,26,33.9,70.1,7.01,10,228,-207.6,247,5,39
P1140,Carson Wentz,QB,MIN,34,30.6,70.3,14.06,5,227,-210.9,248,5,40
P1077,Tyrod Taylor,QB,NYJ,37,20.6,59.5,9.92,6,250,-220.9,249,5,41
P1047,Kirk Cousins,QB,ATL,38,19.3,103.5,10.35,10,167,-222.2,250,5,42
