pid,pfr_id,season,week,pos,team,opp,ppr
P0009,GreeAh00,2002,1,RB,GB,ATL,23.7
P0009,GreeAh00,2002,2,RB,GB,NO,17.4
P0009,GreeAh00,2002,4,RB,GB,CAR,9.1
P0009,GreeAh00,2002,5,RB,GB,CHI,16.8
P0009,GreeAh00,2002,6,RB,GB,NE,30.7
P0009,GreeAh00,2002,7,RB,GB,WAS,29.0
P0009,GreeAh00,2002,9,RB,GB,MIA,32.3
P0009,GreeAh00,2002,10,RB,GB,DET,10.0
P0009,GreeAh00,2002,11,RB,GB,MIN,24.9
P0009,GreeAh00,2002,12,RB,GB,TB,13.6
P0009,GreeAh00,2002,13,RB,GB,CHI,17.3
P0009,GreeAh00,2002,15,RB,GB,SF,18.0
P0009,GreeAh00,2002,16,RB,GB,BUF,15.3
P0009,GreeAh00,2002,17,RB,GB,NYJ,10.2
P0009,GreeAh00,2003,1,RB,GB,MIN,28.5
P0009,GreeAh00,2003,2,RB,GB,DET,22.0
P0009,GreeAh00,2003,3,RB,GB,ARI,13.6
P0009,GreeAh00,2003,4,RB,GB,CHI,34.0
P0009,GreeAh00,2003,5,RB,GB,SEA,25.5
P0009,GreeAh00,2003,6,RB,GB,KC,35.0
P0009,GreeAh00,2003,7,RB,GB,LA,19.7
P0009,GreeAh00,2003,9,RB,GB,MIN,29.9
P0009,GreeAh00,2003,10,RB,GB,PHI,35.4
P0009,GreeAh00,2003,11,RB,GB,TB,21.4
P0009,GreeAh00,2003,12,RB,GB,SF,15.4
P0009,GreeAh00,2003,13,RB,GB,DET,10.7
P0009,GreeAh00,2003,14,RB,GB,CHI,17.7
P0009,GreeAh00,2003,15,RB,GB,LAC,20.6
P0009,GreeAh00,2003,16,RB,GB,LV,19.9
P0009,GreeAh00,2003,17,RB,GB,DEN,35.7
P0009,GreeAh00,2004,1,RB,GB,CAR,31.6
P0009,GreeAh00,2004,2,RB,GB,CHI,13.5
P0009,GreeAh00,2004,3,RB,GB,IND,14.1
P0009,GreeAh00,2004,4,RB,GB,NYG,11.6
P0009,GreeAh00,2004,5,RB,GB,TEN,3.8
P0009,GreeAh00,2004,6,RB,GB,DET,16.2
P0009,GreeAh00,2004,7,RB,GB,DAL,31.7
P0009,GreeAh00,2004,8,RB,GB,WAS,30.3
P0009,GreeAh00,2004,10,RB,GB,MIN,17.2
P0009,GreeAh00,2004,11,RB,GB,HOU,1.5
P0009,GreeAh00,2004,13,RB,GB,PHI,8.4
P0009,GreeAh00,2004,14,RB,GB,DET,14.6
P0009,GreeAh00,2004,15,RB,GB,JAX,10.5
P0009,GreeAh00,2004,16,RB,GB,MIN,19.0
P0009,GreeAh00,2004,17,RB,GB,CHI,4.6
P0009,GreeAh00,2005,1,RB,GB,DET,14.2
P0009,GreeAh00,2005,2,RB,GB,CLE,14.9
P0009,GreeAh00,2005,3,RB,GB,TB,11.5
P0009,GreeAh00,2005,4,RB,GB,CAR,9.9
P0009,GreeAh00,2005,7,RB,GB,MIN,8.7
P0009,GreeAh00,2006,1,RB,GB,CHI,16.2
P0009,GreeAh00,2006,2,RB,GB,NO,13.0
P0009,GreeAh00,2006,3,RB,GB,DET,25.1
P0009,GreeAh00,2006,7,RB,GB,MIA,17.8
P0009,GreeAh00,2006,8,RB,GB,ARI,27.3
P0009,GreeAh00,2006,9,RB,GB,BUF,14.0
P0009,GreeAh00,2006,10,RB,GB,MIN,5.5
P0009,GreeAh00,2006,11,RB,GB,NE,3.8
P0009,GreeAh00,2006,12,RB,GB,SEA,21.0
P0009,GreeAh00,2006,13,RB,GB,NYJ,18.0
P0009,GreeAh00,2006,14,RB,GB,SF,16.0
P0009,GreeAh00,2006,15,RB,GB,DET,19.3
P0009,GreeAh00,2006,16,RB,GB,MIN,10.9
P0009,GreeAh00,2006,17,RB,GB,CHI,15.0
P0009,GreeAh00,2007,1,RB,HOU,KC,13.6
P0009,GreeAh00,2007,2,RB,HOU,CAR,13.1
P0009,GreeAh00,2007,3,RB,HOU,IND,3.6
P0009,GreeAh00,2007,6,RB,HOU,JAX,6.8
P0009,GreeAh00,2007,7,RB,HOU,TEN,12.1
P0009,GreeAh00,2007,9,RB,HOU,LV,15.1
P0009,GreeAh00,2008,1,RB,HOU,PIT,7.1
P0009,GreeAh00,2008,5,RB,HOU,IND,4.7
P0009,GreeAh00,2008,6,RB,HOU,MIA,5.3
P0009,GreeAh00,2008,7,RB,HOU,DET,13.5
P0009,GreeAh00,2008,8,RB,HOU,CIN,5.6
P0009,GreeAh00,2008,10,RB,HOU,BAL,4.3
P0009,GreeAh00,2008,11,RB,HOU,IND,15.4
P0009,GreeAh00,2008,12,RB,HOU,CLE,5.7
P0009,GreeAh00,2009,8,RB,GB,MIN,2.3
P0009,GreeAh00,2009,9,RB,GB,TB,6.5
P0009,GreeAh00,2009,10,RB,GB,DAL,1.5
P0009,GreeAh00,2009,13,RB,GB,BAL,2.3
P0009,GreeAh00,2009,14,RB,GB,CHI,1.1
P0009,GreeAh00,2009,16,RB,GB,SEA,8.9
P0009,GreeAh00,2009,17,RB,GB,ARI,4.2
P0010,MossRa00,2000,1,WR,MIN,CHI,12.9
P0010,MossRa00,2000,2,WR,MIN,MIA,21.6
P0010,MossRa00,2000,3,WR,MIN,NE,4.0
P0010,MossRa00,2000,5,WR,MIN,DET,41.7
P0010,MossRa00,2000,6,WR,MIN,TB,22.8
P0010,MossRa00,2000,7,WR,MIN,CHI,12.9
P0010,MossRa00,2000,8,WR,MIN,BUF,22.0
P0010,MossRa00,2000,9,WR,MIN,TB,19.5
P0010,MossRa00,2000,10,WR,MIN,GB,18.7
P0010,MossRa00,2000,11,WR,MIN,ARI,23.4
P0010,MossRa00,2000,12,WR,MIN,CAR,21.6
P0010,MossRa00,2000,13,WR,MIN,DAL,33.4
P0010,MossRa00,2000,14,WR,MIN,DET,5.6
P0010,MossRa00,2000,15,WR,MIN,LA,16.4
P0010,MossRa00,2000,16,WR,MIN,GB,23.6
P0010,MossRa00,2000,17,WR,MIN,IND,11.2
P0010,MossRa00,2001,1,WR,MIN,CAR,3.8
P0010,MossRa00,2001,2,WR,MIN,CHI,13.1
P0010,MossRa00,2001,3,WR,MIN,TB,14.5
P0010,MossRa00,2001,4,WR,MIN,NO,14.8
P0010,MossRa00,2001,5,WR,MIN,DET,13.8
P0010,MossRa00,2001,6,WR,MIN,GB,15.3
P0010,MossRa00,2001,7,WR,MIN,TB,13.9
P0010,MossRa00,2001,9,WR,MIN,PHI,22.5
P0010,MossRa00,2001,10,WR,MIN,NYG,46.9
P0010,MossRa00,2001,11,WR,MIN,CHI,6.5
P0010,MossRa00,2001,12,WR,MIN,PIT,28.4
P0010,MossRa00,2001,13,WR,MIN,TEN,28.8
P0010,MossRa00,2001,14,WR,MIN,DET,33.4
P0010,MossRa00,2001,15,WR,MIN,JAX,6.4
P0010,MossRa00,2001,16,WR,MIN,GB,4.1
P0010,MossRa00,2001,17,WR,MIN,BAL,4.06
P0010,MossRa00,2002,1,WR,MIN,CHI,17.8
P0010,MossRa00,2002,2,WR,MIN,BUF,28.6
P0010,MossRa00,2002,3,WR,MIN,CAR,5.6
P0010,MossRa00,2002,4,WR,MIN,SEA,12.1
P0010,MossRa00,2002,6,WR,MIN,DET,17.3
P0010,MossRa00,2002,7,WR,MIN,NYJ,12.6
P0010,MossRa00,2002,8,WR,MIN,CHI,27.1
P0010,MossRa00,2002,9,WR,MIN,TB,8.9
P0010,MossRa00,2002,10,WR,MIN,NYG,11.5
P0010,MossRa00,2002,11,WR,MIN,GB,23.5
P0010,MossRa00,2002,12,WR,MIN,NE,15.2
P0010,MossRa00,2002,13,WR,MIN,ATL,22.4
P0010,MossRa00,2002,14,WR,MIN,GB,11.5
P0010,MossRa00,2002,15,WR,MIN,NO,36.8
P0010,MossRa00,2002,16,WR,MIN,MIA,22.52
P0010,MossRa00,2002,17,WR,MIN,DET,16.9
P0010,MossRa00,2003,1,WR,MIN,GB,30.0
P0010,MossRa00,2003,2,WR,MIN,CHI,7.8
P0010,MossRa00,2003,3,WR,MIN,DET,11.5
P0010,MossRa00,2003,4,WR,MIN,SF,43.2
P0010,MossRa00,2003,5,WR,MIN,ATL,25.1
P0010,MossRa00,2003,7,WR,MIN,DEN,25.1
P0010,MossRa00,2003,8,WR,MIN,NYG,30.3
P0010,MossRa00,2003,9,WR,MIN,GB,20.7
P0010,MossRa00,2003,10,WR,MIN,LAC,29.0
P0010,MossRa00,2003,11,WR,MIN,LV,6.5
P0010,MossRa00,2003,12,WR,MIN,DET,10.6
P0010,MossRa00,2003,13,WR,MIN,LA,30.5
P0010,MossRa00,2003,14,WR,MIN,SEA,33.3
P0010,MossRa00,2003,15,WR,MIN,CHI,25.7
P0010,MossRa00,2003,16,WR,MIN,KC,30.1
P0010,MossRa00,2003,17,WR,MIN,ARI,16.6
P0010,MossRa00,2004,1,WR,MIN,DAL,20.18
P0010,MossRa00,2004,2,WR,MIN,PHI,20.9
P0010,MossRa00,2004,3,WR,MIN,CHI,30.9
P0010,MossRa00,2004,5,WR,MIN,HOU,26.0
P0010,MossRa00,2004,6,WR,MIN,NO,16.9
P0010,MossRa00,2004,12,WR,MIN,JAX,14.0
P0010,MossRa00,2004,13,WR,MIN,CHI,5.1
P0010,MossRa00,2004,14,WR,MIN,SEA,18.4
P0010,MossRa00,2004,15,WR,MIN,DET,20.2
P0010,MossRa00,2004,16,WR,MIN,GB,11.0
P0010,MossRa00,2004,17,WR,MIN,WAS,17.6
P0010,MossRa00,2005,1,WR,LV,NE,24.0
P0010,MossRa00,2005,2,WR,LV,KC,23.7
P0010,MossRa00,2005,3,WR,LV,PHI,13.6
P0010,MossRa00,2005,4,WR,LV,DAL,16.3
P0010,MossRa00,2005,7,WR,LV,BUF,13.3
P0010,MossRa00,2005,8,WR,LV,TEN,5.6
P0010,MossRa00,2005,9,WR,LV,KC,7.7
P0010,MossRa00,2005,10,WR,LV,DEN,20.7
P0010,MossRa00,2005,11,WR,LV,WAS,7.0
P0010,MossRa00,2005,12,WR,LV,MIA,5.8
P0010,MossRa00,2005,13,WR,LV,LAC,14.4
P0010,MossRa00,2005,14,WR,LV,NYJ,3.8
P0010,MossRa00,2005,15,WR,LV,CLE,9.8
P0010,MossRa00,2005,16,WR,LV,DEN,12.2
P0010,MossRa00,2005,17,WR,LV,NYG,30.6
P0010,MossRa00,2006,1,WR,LV,LAC,8.7
P0010,MossRa00,2006,2,WR,LV,BAL,5.2
P0010,MossRa00,2006,4,WR,LV,CLE,7.5
P0010,MossRa00,2006,5,WR,LV,SF,16.2
P0010,MossRa00,2006,6,WR,LV,DEN,13.6
P0010,MossRa00,2006,7,WR,LV,ARI,25.9
P0010,MossRa00,2006,8,WR,LV,PIT,4.0
P0010,MossRa00,2006,9,WR,LV,SEA,13.6
P0010,MossRa00,2006,10,WR,LV,DEN,1.8
P0010,MossRa00,2006,12,WR,LV,LAC,5.6
P0010,MossRa00,2006,13,WR,LV,HOU,8.4
P0010,MossRa00,2006,14,WR,LV,CIN,4.8
P0010,MossRa00,2007,1,WR,NE,NYJ,33.3
P0010,MossRa00,2007,2,WR,NE,LAC,30.5
P0010,MossRa00,2007,3,WR,NE,BUF,28.5
P0010,MossRa00,2007,4,WR,NE,CIN,31.2
P0010,MossRa00,2007,5,WR,NE,CLE,7.6
P0010,MossRa00,2007,6,WR,NE,DAL,17.9
P0010,MossRa00,2007,7,WR,NE,MIA,28.2
P0010,MossRa00,2007,8,WR,NE,WAS,13.7
P0010,MossRa00,2007,9,WR,NE,IND,29.5
P0010,MossRa00,2007,11,WR,NE,BUF,46.8
P0010,MossRa00,2007,12,WR,NE,PHI,9.3
P0010,MossRa00,2007,13,WR,NE,BAL,13.4
P0010,MossRa00,2007,14,WR,NE,PIT,32.5
P0010,MossRa00,2007,15,WR,NE,NYJ,12.9
P0010,MossRa00,2007,16,WR,NE,MIA,22.0
P0010,MossRa00,2007,17,WR,NE,NYG,28.0
P0010,MossRa00,2008,1,WR,NE,KC,21.6
P0010,MossRa00,2008,2,WR,NE,NYJ,4.2
P0010,MossRa00,2008,3,WR,NE,MIA,6.5
P0010,MossRa00,2008,5,WR,NE,SF,22.3
P0010,MossRa00,2008,6,WR,NE,LAC,5.6
P0010,MossRa00,2008,7,WR,NE,DEN,23.9
P0010,MossRa00,2008,8,WR,NE,LA,17.2
