,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
75,Jared Goff,DET,QB,32,1,1,26,39,206,2,0,2,2,1.00,0,0,0,0,,0,1,0,0,,,16,16.4,16.4,16.4,,17,75,GoffJa00
76,Jacoby Brissett,ARI,QB,34,1,1,27,37,277,1,0,6,14,2.33,0,0,0,0,,0,0,0,0,,,16,16.5,16.5,16.5,,15,76,BrisJa00
77,Joe Burrow,CIN,QB,30,1,1,25,35,254,1,1,5,20,4.00,0,0,0,0,,0,0,0,0,,,14,14.2,15.2,15.2,,19,77,BurrJo01
78,Kirk Cousins,LVR,QB,38,1,1,21,30,160,3,2,5,-6,-1.20,0,0,0,0,,0,0,0,0,,,14,13.8,15.8,15.8,,21,78,CousKi00
79,Deshaun Watson,CLE,QB,31,1,1,16,22,205,1,1,6,38,6.33,0,0,0,0,,0,1,0,0,,,14,14.0,15.0,15.0,,20,,WatsDe00
80,Dak Prescott,DAL,QB,33,1,1,22,34,175,2,1,2,14,7.00,0,0,0,0,,0,0,0,0,,,14,14.4,15.4,15.4,,18,,PresDa01
81,Aaron Rodgers,PIT,QB,43,1,1,24,40,221,1,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,13,12.5,12.5,12.5,,24,,RodgAa00
82,Justin Herbert,LAC,QB,28,1,1,17,27,209,1,1,5,29,5.80,0,0,0,0,,0,0,0,0,,,13,13.3,14.3,14.3,,22,,HerbJu00
83,Drew Lock,SEA,QB,30,1,0,16,22,187,1,0,2,13,6.50,0,0,0,0,,0,0,0,0,,,13,12.8,12.8,12.8,,23,,LockDr00
84,Cam Ward,TEN,QB,24,1,1,19,32,140,1,0,4,21,5.25,0,0,0,0,,0,0,0,0,,,12,11.7,11.7,11.7,,25,,WardCa00
